"var","par.wgr","count.wgr","gradient","val","coef","t.stat"
"constant_LandBldg",-1.94803777361491,48,0,-198570.918794501,4.38118627522607,15.1934923824892
"constant_LandOnly",0.0944546195524287,0,0,0,4.21550315611156,14.6109570581725
"constant_Condo",-0.00373765166393627,0,0,0,3.72436444382351,12.9151183606873
"distance.num",-2.10514365935744,0,0,0,-0.0145429004523143,-78.8930739223908
"area.m2.num",-0.0364756470492341,0,0,0,0.00248045341030093,401.850705816795
"total.floor.area.m2.num",-1.24093196157561,0,0,0,0.000619029627213397,107.892864945438
"building.age",-1.03935850877452,0,0,0,-0.0120645719166001,-144.718985413155
"LandBldg_RC",0.00852481271576729,0,0,0,0.434318899673869,45.8633527626038
"LandBldg_S",0.00238996678042548,0,0,0,0.186696741414995,21.4077698607855
"LandBldg_W",-0.997716488789253,0,0,0,-0.126610264791982,-16.0275150821319
"built.1981_2000",0.00185126655475316,0,0,0,0.165165675034445,61.1468847277341
"built.after2000",-0.960820529123031,0,0,0,0.412279539837232,158.886854351367
"Urban_Control",0,0,0,0,-0.896686092552051,-39.8163618187445
"max.building.coverage.ratio",0,0,0,0,-0.00189507730362942,-24.6438288672975
"max.floor.area.ratio",0,0,0,0,0.000431342610093604,36.5603964160313
"City_Fukuoka",0,0,0,0,-0.910761977643476,-70.3421363612737
"City_Nagoya",0,0,0,0,-0.413870629965695,-83.6820385657123
"City_Osaka",0,0,0,0,-0.261485414898934,-41.8209979598841
"City_Sapporo",0,0,0,0,-1.23881703477565,-88.4783993666841
"log.nGDP_ns",0,0,0,0,0.522905152902034,28.5039078721476
"log.CPI",0,0,0,0,1.50296633554483,28.7176531320283
"PctImmi",0,0,0,0,6.7217633490431,66.1778133320835
"Ncrime",0,0,0,0,-0.0436477916259325,-50.1567942617689
"PctUnemploy",0,0,0,0,-4.33985177322617,-44.6668951268243
"PctExec",0,0,0,0,3.34643057725274,37.6841114743473
"JSHIS_I45_55",0,0,0,0,-0.142658887167355,-7.33372248981815
"JSHIS_I55",0,0,0,0,-0.50405683579013,-24.3261958794775
"Xpsi",0,0,0,0,-0.0513941231745019,-9.16014133442199
"198570.918794501",0,0,0,0,3.74,2.90850592733105
