"Fukuoka","Nagoya","Osaka","Sapporo","Tokyo"
0.0981,0.14628,0.0959,0.03382,0.41124
0.09324,0.14772,0.09358,0.03314,0.42868
0.10332,0.14328,0.09502,0.03316,0.40608
0.08986,0.14738,0.09502,0.03076,0.40036
0.08488,0.14398,0.09658,0.0309,0.39426
0.09372,0.1517,0.09478,0.0331,0.38434
0.08686,0.14704,0.09646,0.03322,0.40554
0.08264,0.1466,0.09748,0.03032,0.38498
0.0828,0.14456,0.09556,0.0308,0.40616
0.07994,0.14768,0.09322,0.02904,0.3894
0.08124,0.14592,0.09682,0.03042,0.40038
0.07734,0.14416,0.09948,0.03024,0.38712
0.0795,0.14696,0.09506,0.03072,0.37694
0.08306,0.14716,0.09696,0.03006,0.3705
0.08012,0.17782,0.09454,0.03044,0.40364
0.07698,0.161,0.09378,0.02962,0.44256
0.07682,0.15348,0.09668,0.02938,0.3891
0.08058,0.15048,0.09574,0.02974,0.37722
0.07574,0.15142,0.09678,0.02808,0.37628
0.07642,0.1488,0.0956,0.03352,0.36648
0.07842,0.16188,0.09552,0.03046,0.77892
0.07716,0.19202,0.09496,0.03112,0.7181
0.07508,0.15916,0.09556,0.0305,0.65258
0.07926,0.15702,0.0963,0.03122,0.57614
0.07574,0.15416,0.09812,0.03014,0.63098
0.07302,0.14874,0.09564,0.0292,0.5803
0.07856,0.15404,0.09532,0.0307,0.5565
0.0738,0.1484,0.09508,0.029,0.51412
0.07564,0.14774,0.096,0.03208,0.52398
0.07268,0.14624,0.0998,0.03168,0.53704
0.0723,0.14708,0.09952,0.02964,0.48786
0.07194,0.14284,0.0955,0.03042,0.61126
0.10942,0.14678,0.094,0.03024,0.51354
0.08516,0.14426,0.09796,0.0304,0.47894
0.07778,0.1428,0.09794,0.03358,0.49182
0.07596,0.14302,0.09382,0.0346,0.45284
0.07724,0.14474,0.09498,0.03298,0.45064
0.07528,0.14584,0.09752,0.03206,0.44924
