"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.94246491054837","179","0","-199306.139954268","4.65707340927605","13.8700827452956"
"2","constant_LandOnly","0.0947591921293194","0","0","0","4.47979788787327","13.3372146811688"
"3","constant_Condo","-0.00410831991707318","0","0","0","3.98510385753429","11.8693015357659"
"4","distance.num","-2.10661384676196","0","0","0","-0.0145540443756923","-79.0890528795528"
"5","area.m2.num","-0.0350846638655013","0","0","0","0.00247804118477415","402.259645803874"
"6","total.floor.area.m2.num","-1.24371204829138","0","0","0","0.000618797757056173","108.04277024785"
"7","building.age","-3.73352858169485","0","0","0","-0.0121097273904911","-145.17916571412"
"8","LandBldg_RC","0.0261287589988434","0","0","0","0.422419661484035","44.6061274952462"
"9","LandBldg_S","0.000174963967977411","0","0","0","0.174650453114275","20.0155619751365"
"10","LandBldg_W","-4.6503306276302","0","0","0","-0.136050905421477","-17.216809427535"
"11","built.1981_2000","-0.0114206533222461","0","0","0","0.166422287144245","61.6655952457099"
"12","built.after2000","-4.09915264594929","0","0","0","0.411888816608359","158.865804240977"
"13","Urban_Control","-1.04148461875401","0","0","0","-0.901011190440276","-40.0986149463692"
"14","max.building.coverage.ratio","0.00687556217508172","0","0","0","-0.00187544881272908","-24.4253766713892"
"15","max.floor.area.ratio","0.00241757053304896","0","0","0","0.000427719891160187","36.3141959745596"
"16","City_Fukuoka","-1.00015321906641","0","0","0","-0.90722476298071","-69.9182676346549"
"17","City_Nagoya","0.00210679667940317","0","0","0","-0.40826532855039","-80.6035425163542"
"18","City_Osaka","-0.962525331900887","0","0","0","-0.256951896912192","-40.5284879759926"
"19","City_Sapporo","0","0","0","0","-1.23579060644028","-88.1476816168484"
"20","log.nGDP","0","0","0","0","0.498530263273141","23.2914646948999"
"21","log.CPI","0","0","0","0","1.50701668202645","24.5239524317628"
"22","PctImmi","0","0","0","0","6.71459495004495","66.2053976749826"
"23","Ncrime","0","0","0","0","-0.0436006517339846","-50.1782669384747"
"24","PctUnemploy","0","0","0","0","-4.31816537812561","-44.5071422935376"
"25","PctExec","0","0","0","0","3.34221511385861","37.6923236767812"
"26","JSHIS_I45_55","0","0","0","0","-0.144832174955492","-7.45772672443034"
"27","JSHIS_I55","0","0","0","0","-0.506751508777657","-24.4956364068357"
"28","Xpsi","0","0","0","0","-0.0442899878067243","-7.07258248157021"
"29","psi","0","0","0","0","3.52","2.26657485956741"
