"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.82917827322247","57","0","-192746.477247558","4.13181692776347","14.0460475727978"
"2","constant_LandOnly","0.095983808711826","0","0","0","4.00954659229215","13.625245990432"
"3","constant_Condo","-0.0160199458718122","0","0","0","3.514053921409","11.948036155471"
"4","distance.num","-2.15584774399938","0","0","0","-0.015869375118721","-84.7027004258863"
"5","area.m2.num","-0.0264250851689818","0","0","0","0.00251574926666795","406.28961077718"
"6","total.floor.area.m2.num","-1.20249319900389","0","0","0","0.000906816412840245","180.259593053583"
"7","building.age","-1.0022299784443","0","0","0","-0.0119297696660075","-143.916634796393"
"8","built.1981_2000","0.00851133867120339","0","0","0","0.184439209090869","67.9533670803744"
"9","built.after2000","0.0029317234716196","0","0","0","0.377945583088504","151.32071549817"
"10","Urban_Control","-1.00525989760044","0","0","0","-0.930325358641494","-40.8642797110467"
"11","max.building.coverage.ratio","0.00188201932075691","0","0","0","-0.00198108332604833","-25.342557741906"
"12","max.floor.area.ratio","-0.950744822478949","0","0","0","0.000490616406193947","40.9638287049316"
"13","City_Fukuoka","0","0","0","0","-0.921397160427543","-69.9056377217195"
"14","City_Nagoya","0","0","0","0","-0.409510898241159","-81.3736879117058"
"15","City_Osaka","0","0","0","0","-0.247878162444865","-38.8565135436468"
"16","City_Sapporo","0","0","0","0","-1.26655574923641","-88.8161604555317"
"17","log.nGDP","0","0","0","0","0.529146145972026","28.4035184169128"
"18","log.CPI","0","0","0","0","1.52630147076304","28.6135942122476"
"19","PctImmi","0","0","0","0","7.120522775491","68.7439672538968"
"20","Ncrime","0","0","0","0","-0.0476564783565208","-53.7266667313729"
"21","PctUnemploy","0","0","0","0","-4.24875425338675","-42.6687794128054"
"22","PctExec","0","0","0","0","3.68420061809548","40.6716449413246"
"23","JSHIS_I45_55","0","0","0","0","-0.168546587701312","-8.50807340761782"
"24","JSHIS_I55","0","0","0","0","-0.526266787681506","-24.9261789262483"
"25","Xpsi","0","0","0","0","-0.0508346688499804","-9.23124179902445"
"26","psi","0","0","0","0","3.89","2.90777335272005"
