"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.9592050150918","41","0","-198738.516814135","4.60770570783578","15.9786887645066"
"2","constant_LandOnly","0.0921834691405245","0","0","0","4.44083103884551","15.391836719488"
"3","constant_Condo","-0.00200893767219831","0","0","0","3.94988010549996","13.6969045235705"
"4","distance.num","-2.10710813256557","0","0","0","-0.0143065638114961","-77.353255412328"
"5","area.m2.num","-0.0381467357036891","0","0","0","0.00248079520445795","402.23214062764"
"6","total.floor.area.m2.num","-1.23261406892436","0","0","0","0.000618641716618979","107.962220762085"
"7","building.age","-1.04067583483208","0","0","0","-0.0120574162580492","-144.71097255406"
"8","LandBldg_RC","0.00844976840997836","0","0","0","0.433087349266625","45.7894833923848"
"9","LandBldg_S","0.00237113881028998","0","0","0","0.186110860665449","21.3665189486348"
"10","LandBldg_W","-0.998491643623065","0","0","0","-0.127819099999041","-16.1996896797137"
"11","built.1981_2000","0.00183878698463198","0","0","0","0.165301930123663","61.2107421183562"
"12","built.after2000","-0.959903316911051","0","0","0","0.412725731761034","159.093144417305"
"13","Urban_Control","0","0","0","0","-0.892784804055577","-39.7185016968019"
"14","max.building.coverage.ratio","0","0","0","0","-0.00200648660701634","-26.0084050137745"
"15","max.floor.area.ratio","0","0","0","0","0.000456680075915398","38.4040956746303"
"16","City_Fukuoka","0","0","0","0","-0.993583609249284","-37.8268538375159"
"17","City_Nagoya","0","0","0","0","-0.595389403869357","-46.6709399435267"
"18","City_Osaka","0","0","0","0","-0.432552594811971","-32.9535241611302"
"19","City_Sapporo","0","0","0","0","-1.32119823159583","-49.6144569521888"
"20","log.nGDP","0","0","0","0","0.522571296940273","28.4932780265601"
"21","log.CPI","0","0","0","0","1.50574540062476","28.7634983317833"
"22","PctImmi","0","0","0","0","6.65222494131051","65.0987038702422"
"23","Ncrime","0","0","0","0","-0.0422326271372474","-47.7017135076463"
"24","PctUnemploy","0","0","0","0","-4.27399373560523","-43.9578557823463"
"25","PctExec","0","0","0","0","3.35313595581758","37.631213888921"
"26","J45_55_sub","0","0","0","0","-0.485611502252692","-15.214878579305"
"27","J55_sub","0","0","0","0","-1.50284489451338","-5.85130071647648"
"28","Xpsi","0","0","0","0","-0.0518446733048508","-9.30937690729566"
"29","gamma","0","0","0","0","0.32","-42.3529767863645"
"30","psi","0","0","0","0","3.77","2.95127172819498"
