"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.95655808922125","48","0","-198723.744450125","4.90402520624475","16.9105711604529"
"2","constant_LandOnly","0.092652859934058","0","0","0","4.73761454195706","16.3284929865642"
"3","constant_Condo","-0.00168493516286681","0","0","0","4.24648231894147","14.642455556649"
"4","distance.num","-2.1087365230988","0","0","0","-0.0143204997749903","-77.3432553229453"
"5","area.m2.num","-0.0378637876527265","0","0","0","0.00248099258499945","402.219670035491"
"6","total.floor.area.m2.num","-1.23302524669505","0","0","0","0.000618606964855161","107.934187081621"
"7","building.age","-1.04047071533323","0","0","0","-0.0120613874308891","-144.744181728719"
"8","LandBldg_RC","0.00843983202595668","0","0","0","0.433534449475688","45.8282808417725"
"9","LandBldg_S","0.00239126458559493","0","0","0","0.186386475979808","21.394126253014"
"10","LandBldg_W","-0.998445999921215","0","0","0","-0.12737362388494","-16.1409043195953"
"11","built.1981_2000","0.00183137215812812","0","0","0","0.165471372787822","61.2704246098485"
"12","built.after2000","-0.960024808344369","0","0","0","0.412743510668961","159.093596473611"
"13","Urban_Control","0","0","0","0","-0.897544279848797","-39.9215053612537"
"14","max.building.coverage.ratio","0","0","0","0","-0.0020113488817381","-26.0663577689791"
"15","max.floor.area.ratio","0","0","0","0","0.000456554224056998","38.4396175783859"
"16","City_Fukuoka","0","0","0","0","-1.04846458785765","-43.2161810448493"
"17","City_Nagoya","0","0","0","0","-0.593813539071077","-38.7097019901082"
"18","City_Osaka","0","0","0","0","-0.424819901367908","-27.539186594689"
"19","City_Sapporo","0","0","0","0","-1.37769726822997","-55.9630214796277"
"20","log.nGDP","0","0","0","0","0.522688224183376","28.4972773116653"
"21","log.CPI","0","0","0","0","1.50720789643049","28.7845994657111"
"22","PctImmi","0","0","0","0","6.71369060438307","65.8803871663127"
"23","Ncrime","0","0","0","0","-0.0426314770253993","-48.8131171116425"
"24","PctUnemploy","0","0","0","0","-4.30391309533646","-44.2740772379833"
"25","PctExec","0","0","0","0","3.31167056398568","37.2197357211643"
"26","J45_55_sub","0","0","0","0","-0.864397665174467","-17.231460359597"
"27","J55_sub","0","0","0","0","-1.38375739473435","-8.86474487929503"
"28","Xpsi","0","0","0","0","-0.0517253820948877","-9.30974328830193"
"29","gamma","0","0","0","0","0.17","-37.0244694738378"
"30","psi","0","0","0","0","3.78","2.94984628606562"
