"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.9505141449006","45","0","-198604.803849498","4.36566413337862","15.1183127678258"
"2","constant_LandOnly","0.0940653881741657","0","0","0","4.19950437508322","14.5348320965876"
"3","constant_Condo","-0.0044775959464813","0","0","0","3.71203332042506","12.8546033236605"
"4","distance.num","-2.10423565738631","0","0","0","-0.0146321840442251","-78.5224936810157"
"5","area.m2.num","-0.037042113580079","0","0","0","0.00248290470795039","401.266800581829"
"6","total.floor.area.m2.num","-1.24168069452124","0","0","0","0.000620128483923335","107.977624836229"
"7","building.age","-1.03950450613024","0","0","0","-0.012071376536014","-144.734449520704"
"8","LandBldg_RC","0.00854353293488076","0","0","0","0.434774160264042","45.911142925067"
"9","LandBldg_S","0.00241822945489489","0","0","0","0.188415567121021","21.6003344682297"
"10","LandBldg_W","-0.997685176577998","0","0","0","-0.127568697065001","-16.1494159424576"
"11","built.1981_2000","0.0018961892787738","0","0","0","0.164508461749882","60.839698929946"
"12","built.after2000","-0.960901550666866","0","0","0","0.412169124877247","158.644029243924"
"13","Urban_Control","0","0","0","0","-0.890473718816097","-33.8773933641671"
"14","LU_Resid","0","0","0","0","0.00849843009295883","0.597501011225641"
"15","LU_Comm","0","0","0","0","-0.00668967058917698","-0.45386287689132"
"16","LU_Industr","0","0","0","0","-0.0156761650393957","-1.08802314880336"
"17","max.building.coverage.ratio","0","0","0","0","-0.00193397553176102","-23.6184033075062"
"18","max.floor.area.ratio","0","0","0","0","0.000450119811600348","35.9874354725471"
"19","City_Fukuoka","0","0","0","0","-0.905095658223662","-69.8199537365118"
"20","City_Nagoya","0","0","0","0","-0.418693433396801","-83.7294090962348"
"21","City_Osaka","0","0","0","0","-0.264013606550102","-42.1674494108314"
"22","City_Sapporo","0","0","0","0","-1.23223594754498","-87.8941167865307"
"23","log.nGDP","0","0","0","0","0.523515923733937","28.5317568156741"
"24","log.CPI","0","0","0","0","1.50110697918226","28.6691432626225"
"25","PctImmi","0","0","0","0","6.79164140368827","66.614477811771"
"26","Ncrime","0","0","0","0","-0.0437506982488318","-50.2772053049611"
"27","PctUnemploy","0","0","0","0","-4.3133207934106","-44.345481806999"
"28","PctExec","0","0","0","0","3.30206641709713","37.0890587840865"
"29","JSHIS_I45_55","0","0","0","0","-0.138656512699785","-7.12784196388379"
"30","JSHIS_I55","0","0","0","0","-0.476706139780388","-22.6953580764254"
"31","Xpsi","0","0","0","0","-0.0515074424810616","-9.22482248649808"
"32","psi","0","0","0","0","3.76","2.92596496211913"
