"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.94795455814498","50","0","-198556.299302942","4.56422347140812","16.6879040921697"
"2","constant_LandOnly","0.0945584758675305","0","0","0","4.39892725470413","16.0752525993533"
"3","constant_Condo","-0.00404332710757404","0","0","0","3.90736928122598","14.2856231679769"
"4","distance.num","-2.10526655304782","0","0","0","-0.0145327311442856","-78.8399158207584"
"5","area.m2.num","-0.0366228299668831","0","0","0","0.00248050642859434","401.811302096896"
"6","total.floor.area.m2.num","-1.24098983973751","0","0","0","0.000619124235075592","107.89734498937"
"7","building.age","-1.03923054944691","0","0","0","-0.0120721270688692","-144.827772887752"
"8","LandBldg_RC","0.00858053585620688","0","0","0","0.434412145402176","45.8671543439455"
"9","LandBldg_S","0.00239697611501736","0","0","0","0.186721735113774","21.4079984540934"
"10","LandBldg_W","-0.9975874561517","0","0","0","-0.126592331118603","-16.0233953782987"
"11","built.1981_2000","0.00189282338384574","0","0","0","0.165795003838081","61.4539911720619"
"12","built.after2000","-0.960975480733758","0","0","0","0.41260460993168","159.060170418109"
"13","Urban_Control","0","0","0","0","-0.896752208394722","-39.8142958360724"
"14","max.building.coverage.ratio","0","0","0","0","-0.00189386101747084","-24.6293017832908"
"15","max.floor.area.ratio","0","0","0","0","0.000431011059866757","36.5326949610513"
"16","City_Fukuoka","0","0","0","0","-0.906412724034813","-29.1780640273579"
"17","City_Nagoya","0","0","0","0","-0.406144586295301","-21.2739114444014"
"18","City_Osaka","0","0","0","0","-0.256416627816364","-9.62574196261796"
"19","City_Sapporo","0","0","0","0","-1.23613871338712","-32.4569389039758"
"20","log.nGDP","0","0","0","0","0.521303541152957","28.4587633791637"
"21","log.CPI","0","0","0","0","1.46682133359518","29.0513843242491"
"22","PctImmi","0","0","0","0","6.72250997820059","66.1852525155031"
"23","Ncrime","0","0","0","0","-0.0436330910654703","-50.1419380515496"
"24","PctUnemploy","0","0","0","0","-4.33949429623024","-44.6621850484184"
"25","PctExec","0","0","0","0","3.34474864502779","37.6664708427087"
"26","JSHIS_I45_55","0","0","0","0","-0.142684812656619","-7.33471807902277"
"27","JSHIS_I55","0","0","0","0","-0.50385594207613","-24.3155529036973"
"28","Xpsi","0","0","0","0","-0.0732686246045055","-1.67368083700283"
"29","psi","0","0","0","0","1.4","0.231938001524481"
