"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.94789492434606","47","0","-198577.231911377","4.25556818056525","14.8831351956295"
"2","constant_LandOnly","0.0944736044617948","0","0","0","4.08989003417529","14.2959409801252"
"3","constant_Condo","-0.00364729701120511","0","0","0","3.5988085757779","12.5858868740732"
"4","distance.num","-2.10541251763126","0","0","0","-0.0145445646581191","-78.9032953734433"
"5","area.m2.num","-0.0366169088946917","0","0","0","0.00248058678365027","401.889698248732"
"6","total.floor.area.m2.num","-1.24092034151148","0","0","0","0.000618957410748229","107.884893514363"
"7","building.age","-1.03940605201505","0","0","0","-0.0120626808726617","-144.697974880179"
"8","LandBldg_RC","0.00849615680449291","0","0","0","0.434385794547654","45.8721709893674"
"9","LandBldg_S","0.00239341408322199","0","0","0","0.186734952548623","21.4129939082273"
"10","LandBldg_W","-0.997797327909318","0","0","0","-0.126575986241244","-16.0237953594567"
"11","built.1981_2000","0.00183223434199471","0","0","0","0.165092460441154","61.1161009364922"
"12","built.after2000","-0.960750621062253","0","0","0","0.412312873569603","158.89232548586"
"13","Urban_Control","0","0","0","0","-0.89646169686944","-39.8088126312711"
"14","Q_after_Fukushima","0","0","0","0","0.0156798834417373","3.41944197895645"
"15","max.building.coverage.ratio","0","0","0","0","-0.00189351220574542","-24.6223480129691"
"16","max.floor.area.ratio","0","0","0","0","0.000431439323946159","36.5682665743442"
"17","City_Fukuoka","0","0","0","0","-0.912814080386889","-70.2641102058277"
"18","City_Nagoya","0","0","0","0","-0.415886484784637","-82.4200458919895"
"19","City_Osaka","0","0","0","0","-0.263512189404776","-41.5393778674773"
"20","City_Sapporo","0","0","0","0","-1.24087567557766","-88.3746227951347"
"21","log.nGDP","0","0","0","0","0.533168295517004","28.8349449087339"
"22","log.CPI","0","0","0","0","1.50444847877291","28.9508900639447"
"23","PctImmi","0","0","0","0","6.72250748871074","66.1844497072382"
"24","Ncrime","0","0","0","0","-0.0436563123080569","-50.1655414091527"
"25","PctUnemploy","0","0","0","0","-4.33999670381568","-44.6686018358039"
"26","PctExec","0","0","0","0","3.34669868746799","37.6865123614816"
"27","JSHIS_I45_55","0","0","0","0","-0.142619944425117","-7.33183268869792"
"28","JSHIS_I55","0","0","0","0","-0.503967963119017","-24.3221360157102"
"29","Xpsi","0","0","0","0","-0.0561645200204117","-8.1927973907994"
"30","psi","0","0","0","0","3.27","2.66937896823002"
