"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.95216603164688","37","0","-197784.2998769","4.37773945172744","15.1740646816989"
"2","constant_LandOnly","0.0950848018302759","0","0","0","4.21128937940599","14.5891335318923"
"3","constant_Condo","-0.00302728477082317","0","0","0","3.72132660755112","12.8982234949676"
"4","distance.num","-2.08115927670657","0","0","0","-0.0146749642566021","-79.5118032631435"
"5","area.m2.num","-0.0366243414094613","0","0","0","0.00246586919136411","398.567069460832"
"6","total.floor.area.m2.num","-1.23951946783376","0","0","0","0.000624256741273099","108.859631084293"
"7","building.age","-1.04047702835262","0","0","0","-0.0120585650542217","-144.718064969009"
"8","LandBldg_RC","0.00842988417521951","0","0","0","0.434658648747974","45.9444142154208"
"9","LandBldg_S","0.00240324902672343","0","0","0","0.18599816638605","21.3484070987869"
"10","LandBldg_W","-0.991842580431343","0","0","0","-0.127866011088009","-16.2018374505106"
"11","built.1981_2000","0.0018011987633657","0","0","0","0.164765968019426","61.0130212988963"
"12","built.after2000","-0.960332021080159","0","0","0","0.412572417323037","159.052909393037"
"13","max.building.coverage.ratio","0","0","0","0","-0.00176143004631594","-22.9075105588672"
"14","max.floor.area.ratio","0","0","0","0","0.00041975041040636","35.5501762391165"
"15","City_Fukuoka","0","0","0","0","-0.901796216906361","-69.5485371006196"
"16","City_Nagoya","0","0","0","0","-0.411546967003225","-83.0959614262774"
"17","City_Osaka","0","0","0","0","-0.260375187342195","-41.5981020398434"
"18","City_Sapporo","0","0","0","0","-1.21443791075923","-86.66195935243"
"19","log.nGDP","0","0","0","0","0.521273563685606","28.3880887773813"
"20","log.CPI","0","0","0","0","1.49826433884209","28.6125729634265"
"21","PctImmi","0","0","0","0","6.82145482954709","67.1076877839108"
"22","Ncrime","0","0","0","0","-0.0440333605230105","-50.5567410732824"
"23","PctUnemploy","0","0","0","0","-4.32754076042584","-44.5021430404049"
"24","PctExec","0","0","0","0","3.3176679930572","37.3200679979912"
"25","JSHIS_I45_55","0","0","0","0","-0.106019487194257","-5.44714131870515"
"26","JSHIS_I55","0","0","0","0","-0.466070127958522","-22.4811879451276"
"27","Xpsi","0","0","0","0","-0.0515650619056513","-9.13803975210434"
"28","psi","0","0","0","0","3.72","2.90451972502941"
