"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.96300522151555","51","0","-199043.838078775","4.60638955135438","15.9719134746037"
"2","constant_LandOnly","0.0918142881937799","0","0","0","4.43969739183485","15.3856299791764"
"3","constant_Condo","-0.00916972309703119","0","0","0","3.94877143247617","13.6911948817014"
"4","distance.num","-2.11123368199413","0","0","0","-0.014224692484275","-76.488821183959"
"5","area.m2.num","-0.0382759930988532","0","0","0","0.00247974551762248","402.095140445063"
"6","total.floor.area.m2.num","-1.25250848412006","0","0","0","0.000618722994806045","107.921083903578"
"7","building.age","-1.04022079026007","0","0","0","-0.0121096231954022","-145.316138137327"
"8","LandBldg_RC","0.00850755852706568","0","0","0","0.433512007571989","45.807145166416"
"9","LandBldg_S","0.00247992048759312","0","0","0","0.188049884328738","21.5785428349173"
"10","LandBldg_W","-0.999161217234583","0","0","0","-0.12565878443758","-15.9202236340253"
"11","built.1981_2000","0.00183262640739298","0","0","0","0.165473524101889","61.2790289186193"
"12","built.after2000","-0.961174705940367","0","0","0","0.410962301205151","158.41369215783"
"13","Urban_Control","0","0","0","0","-0.878473336440101","-39.0120359259627"
"14","max.building.coverage.ratio","0","0","0","0","-0.00205103404684301","-26.5543935102042"
"15","max.floor.area.ratio","0","0","0","0","0.00047452660707733","39.8801815040708"
"16","City_Fukuoka","0","0","0","0","-0.954598932767778","-69.6946936782043"
"17","City_Nagoya","0","0","0","0","-0.423252368944255","-75.6814630612404"
"18","City_Osaka","0","0","0","0","-0.264301169156965","-38.2903578440636"
"19","City_Sapporo","0","0","0","0","-1.36289175790257","-89.0547560584257"
"20","log.nGDP","0","0","0","0","0.523831151590784","28.5747546999679"
"21","log.CPI","0","0","0","0","1.50227051162455","28.7191570912661"
"22","PctImmi","0","0","0","0","6.98860646025006","65.6858944986186"
"23","Ncrime","0","0","0","0","-0.0496834385332117","-35.963164705703"
"24","PctUnemploy","0","0","0","0","-3.92937332542201","-35.6765309910826"
"25","PctExec","0","0","0","0","3.37593391497513","28.4201580085432"
"26","JSHIS_I45_55","0","0","0","0","-0.196116518682394","-9.90071198241446"
"27","JSHIS_I55","0","0","0","0","-0.570610678470577","-26.9086097138552"
"28","Xpsi","0","0","0","0","-0.0518764890901464","-9.27440051390837"
"29","PctForeign","0","0","0","0","-0.422943950271078","-6.42511578846235"
"30","Nhosp","0","0","0","0","0.0190490202074685","4.22091359379238"
"31","Ndaycare","0","0","0","0","-0.0441110550320764","-11.6359582473317"
"32","Nkindergtn","0","0","0","0","-0.0178545331846742","-4.18910316511283"
"33","Nagedhome","0","0","0","0","-0.538994951163272","-25.0280176162649"
"34","Ndepstore","0","0","0","0","-0.0853250895545198","-6.53473634595251"
"35","Nlargeretail","0","0","0","0","0.0339786075326154","2.5471619458225"
"36","psi","0","0","0","0","3.75","2.94336038710649"
