"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.94803777362699","48","0","-198570.918794506","4.38118625831339","15.193492560717"
"2","constant_LandOnly","0.0944546195501272","0","0","0","4.21550313910798","14.6109572271981"
"3","constant_Condo","-0.00373765166629908","0","0","0","3.72436442684365","12.9151185033191"
"4","distance.num","-2.10514365936544","0","0","0","-0.0145429004511334","-78.893073916059"
"5","area.m2.num","-0.0364756470538641","0","0","0","0.002480453410308","401.850705817971"
"6","total.floor.area.m2.num","-1.24093196155972","0","0","0","0.000619029627193026","107.892864942106"
"7","building.age","-1.03935850877422","0","0","0","-0.0120645719151126","-144.718985394658"
"8","LandBldg_RC","0.00852481271558226","0","0","0","0.434318899569543","45.8633527512252"
"9","LandBldg_S","0.00238996677984833","0","0","0","0.186696741310768","21.4077698486741"
"10","LandBldg_W","-0.997716488788889","0","0","0","-0.126610264892319","-16.0275150946773"
"11","built.1981_2000","0.00185126655417929","0","0","0","0.165165675016768","61.1468847210005"
"12","built.after2000","-0.96082052912256","0","0","0","0.412279539865704","158.8868543618"
"13","Urban_Control","0","0","0","0","-0.896686092509034","-39.8163618168366"
"14","max.building.coverage.ratio","0","0","0","0","-0.00189507730288975","-24.6438288576421"
"15","max.floor.area.ratio","0","0","0","0","0.000431342610002012","36.5603964082736"
"16","City_Fukuoka","0","0","0","0","-0.910761977083267","-70.3421363286092"
"17","City_Nagoya","0","0","0","0","-0.413870629786199","-83.6820385553565"
"18","City_Osaka","0","0","0","0","-0.261485414738544","-41.820997940804"
"19","City_Sapporo","0","0","0","0","-1.23881703418395","-88.4783993374678"
"20","log.nGDP","0","0","0","0","0.522905157941916","28.5039081792613"
"21","log.CPI","0","0","0","0","1.50296632622011","28.7176530566677"
"22","PctImmi","0","0","0","0","6.721763349339","66.1778133351587"
"23","Ncrime","0","0","0","0","-0.0436477916330178","-50.1567942703248"
"24","PctUnemploy","0","0","0","0","-4.33985177227113","-44.6668951175901"
"25","PctExec","0","0","0","0","3.34643057848959","37.6841114885677"
"26","JSHIS_I45_55","0","0","0","0","-0.142658886489177","-7.33372245535484"
"27","JSHIS_I55","0","0","0","0","-0.504056835105422","-24.3261958476949"
"28","Xpsi","0","0","0","0","-0.0513941229875823","-9.16014132150761"
"29","psi","0","0","0","0","3.74","2.90850592291589"
