"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.94852266189244","53","0","-198163.137578376","8.84293569976757","37.980580113225"
"2","constant_LandOnly","0.0947271347846439","0","0","0","8.68970459155537","37.3410829549463"
"3","constant_Condo","-0.00435925540579058","0","0","0","8.19659674376366","35.238725892429"
"4","distance.num","-2.10577164912876","0","0","0","-0.0145202227757898","-78.6779729008771"
"5","area.m2.num","-0.036016220177071","0","0","0","0.00248193358022775","401.146572524894"
"6","total.floor.area.m2.num","-1.24422889525873","0","0","0","0.000620094471470595","107.807204666323"
"7","building.age","-1.03656697710785","0","0","0","-0.0121556903597826","-145.763185837871"
"8","LandBldg_RC","0.00957350998969612","0","0","0","0.448964241757891","47.355337388924"
"9","LandBldg_S","0.00259929408117345","0","0","0","0.200680233262522","22.9903493502358"
"10","LandBldg_W","-0.995354527851166","0","0","0","-0.113860941137593","-14.4021098201267"
"11","built.1981_2000","0.00237836536601191","0","0","0","0.166647274519167","61.6883744665591"
"12","built.after2000","-0.962929689729526","0","0","0","0.410874706897357","158.289380478195"
"13","Urban_Control","0","0","0","0","-0.896979541147013","-39.7322175919122"
"14","max.building.coverage.ratio","0","0","0","0","-0.0018927804611557","-24.6087009498116"
"15","max.floor.area.ratio","0","0","0","0","0.000430105460349691","36.446909912078"
"16","City_Fukuoka","0","0","0","0","-0.926400708333194","-70.9972432322476"
"17","City_Nagoya","0","0","0","0","-0.430633041138844","-85.925678219704"
"18","City_Osaka","0","0","0","0","-0.277411040640395","-43.1207636797888"
"19","City_Sapporo","0","0","0","0","-1.25317910938655","-88.8636502012888"
"20","log.CPI","0","0","0","0","1.86416977139807","37.2609014604705"
"21","PctImmi","0","0","0","0","6.6878159950911","65.812407237284"
"22","Ncrime","0","0","0","0","-0.0434813617063082","-49.9556775278098"
"23","PctUnemploy","0","0","0","0","-4.34962509677876","-44.7201394488278"
"24","PctExec","0","0","0","0","3.34197297957161","37.6200661487018"
"25","JSHIS_I45_55","0","0","0","0","-0.1411169828565","-7.2457763394462"
"26","JSHIS_I55","0","0","0","0","-0.50243794047025","-24.2216907783965"
"27","Xpsi","0","0","0","0","-0.0839423757178749","-10.4487879062309"
"28","psi","0","0","0","0","2.63","3.35064161945279"
