"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-2.03848540482545","59","0","-181117.886589944","4.35447918401627","14.0487484634738"
"2","constant_LandOnly","0.100131038232503","0","0","0","4.1098977047246","13.2531540217562"
"3","constant_Condo","0.00729477374590336","0","0","0","3.64735126024781","11.7678698421387"
"4","distance.num","-2.0739747332574","0","0","0","-0.0145196782339457","-78.2464488389275"
"5","area.m2.num","-0.045844152963095","0","0","0","0.00237135311176276","365.270709570568"
"6","total.floor.area.m2.num","-1.20678561647531","0","0","0","0.000577810140397305","95.2889270317784"
"7","building.age","-1.13944038979361","0","0","0","-0.0127003365595459","-142.673509786233"
"8","LandBldg_RC","0.00914350816062022","0","0","0","0.421069384577261","43.9921888433661"
"9","LandBldg_S","0.00340984092776242","0","0","0","0.149539984794278","16.5418968146568"
"10","LandBldg_W","-1.01192847647479","0","0","0","-0.137328116922138","-17.1120734666591"
"11","built.1981_2000","0.00069541540909002","0","0","0","0.143310753616424","50.300427702155"
"12","built.after2000","-0.955037109402957","0","0","0","0.364417685250872","133.3626274025"
"13","Urban_Control","0","0","0","0","-0.830836170427811","-38.7567133545784"
"14","max.building.coverage.ratio","0","0","0","0","-0.00228665256731307","-26.4060459385719"
"15","max.floor.area.ratio","0","0","0","0","0.000558757044054918","41.1056146055463"
"16","City_Fukuoka","0","0","0","0","-0.859593890495038","-66.2720280724873"
"17","City_Nagoya","0","0","0","0","-0.397439465460777","-75.5327011337749"
"18","City_Sapporo","0","0","0","0","-1.18189764147731","-84.1983762820165"
"19","log.nGDP","0","0","0","0","0.481213530024844","24.9422776525955"
"20","log.CPI","0","0","0","0","1.63421686397216","29.3078232081216"
"21","PctImmi","0","0","0","0","7.09302031806258","62.3134666517583"
"22","Ncrime","0","0","0","0","-0.0487815082104164","-36.493811764988"
"23","PctUnemploy","0","0","0","0","-5.52869143511023","-27.9678403235943"
"24","PctExec","0","0","0","0","3.44451560268573","29.1133274393023"
"25","JSHIS_I45_55","0","0","0","0","-0.112393658927621","-5.9959948335491"
"26","JSHIS_I55","0","0","0","0","-0.475925150720213","-22.4300569849106"
"27","Xpsi","0","0","0","0","-0.062676598852247","-12.1959303653774"
"28","psi","0","0","0","0","4.04","3.79665634912494"
