"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-2.12880462076139","62","0","-193551.314325744","4.11960172632701","11.8870613329547"
"2","constant_LandOnly","0.0711626333753503","0","0","0","3.88746382073233","11.2107284194062"
"3","constant_Condo","-0.0349521626703762","0","0","0","3.42191245565084","9.87354628169069"
"4","distance.num","-2.20664160944814","0","0","0","-0.015243458665049","-77.601467227035"
"5","area.m2.num","-0.030361035952923","0","0","0","0.00230343189752067","346.718231136437"
"6","total.floor.area.m2.num","-1.58431462530899","0","0","0","0.000645422229027956","97.2300449708671"
"7","building.age","-1.12234095561594","0","0","0","-0.0126271258161357","-118.81865341853"
"8","LandBldg_RC","0.00589156932202776","0","0","0","0.270583299964525","23.7104229501972"
"9","LandBldg_S","2.22389810870719e-05","0","0","0","0.0897637048290863","8.63340709152091"
"10","LandBldg_W","-1.10521219208519","0","0","0","-0.196891492593","-20.5855605136615"
"11","built.1981_2000","0.00397615404746869","0","0","0","0.247660620798026","76.5904397143643"
"12","built.after2000","-1.16761232950202","0","0","0","0.583658220623345","162.308340300428"
"13","Urban_Control","0","0","0","0","-0.816882055838651","-40.1087647913285"
"14","max.building.coverage.ratio","0","0","0","0","-0.00142212931887397","-16.0963580454822"
"15","max.floor.area.ratio","0","0","0","0","0.000495332902226528","34.524724810009"
"16","City_Fukuoka","0","0","0","0","-0.586906644261595","-50.3016142005285"
"17","City_Nagoya","0","0","0","0","-0.126404512000788","-10.074282736739"
"18","City_Sapporo","0","0","0","0","-0.903648810073913","-60.7276869164344"
"19","log.nGDP","0","0","0","0","0.548590508820176","23.3833033656999"
"20","log.CPI","0","0","0","0","1.44011324268354","22.1652824580473"
"21","PctImmi","0","0","0","0","6.04707699598512","53.8594614619181"
"22","Ncrime","0","0","0","0","-0.0429646123178646","-44.3618088280118"
"23","PctUnemploy","0","0","0","0","-3.8025555851229","-39.3201141473842"
"24","PctExec","0","0","0","0","3.05545446217089","23.1711790496086"
"25","JSHIS_I45_55","0","0","0","0","-0.242690104731855","-14.1218994311778"
"26","JSHIS_I55","0","0","0","0","-0.43023453775473","-21.656842784562"
"27","Xpsi","0","0","0","0","-0.18727598492467","-0.512814300403486"
"28","psi","0","0","0","0","1.9","0.417244809954717"
