"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.9480028192244","50","0","-198555.08237886","4.55925185091472","16.5082243199598"
"2","constant_LandOnly","0.0945430783936312","0","0","0","4.39396614579569","15.9012423629184"
"3","constant_Condo","-0.00398218678097638","0","0","0","3.90236978937327","14.1296779373986"
"4","distance.num","-2.10531964038993","0","0","0","-0.0145325333177461","-78.8348696159655"
"5","area.m2.num","-0.0366435118256139","0","0","0","0.00248050694628799","401.810282411713"
"6","total.floor.area.m2.num","-1.24104513082913","0","0","0","0.000619135997574613","107.898230608786"
"7","building.age","-1.03922308419086","0","0","0","-0.0120723018722854","-144.817869777696"
"8","LandBldg_RC","0.00858720557214137","0","0","0","0.434396947768558","45.8664641683663"
"9","LandBldg_S","0.0023996690963307","0","0","0","0.18670139161149","21.4060177186613"
"10","LandBldg_W","-0.997586105514167","0","0","0","-0.12660279635612","-16.024808788778"
"11","built.1981_2000","0.00188910258097199","0","0","0","0.165828047240804","61.3992973876152"
"12","built.after2000","-0.960965769868353","0","0","0","0.412621911404447","159.023957719001"
"13","Urban_Control","0","0","0","0","-0.896747968250679","-39.814014379464"
"14","max.building.coverage.ratio","0","0","0","0","-0.00189409543444695","-24.6324378700254"
"15","max.floor.area.ratio","0","0","0","0","0.00043104679832493","36.5363094301767"
"16","City_Fukuoka","0","0","0","0","-0.913282681480463","-69.241050006094"
"17","City_Nagoya","0","0","0","0","-0.410010638013204","-79.1591939274374"
"18","City_Osaka","0","0","0","0","-0.262487844544192","-40.2916600912083"
"19","City_Sapporo","0","0","0","0","-1.24581333414397","-78.5258163908401"
"20","log.nGDP","0","0","0","0","0.522007879447251","28.5673955756048"
"21","log.CPI","0","0","0","0","1.46870028038561","29.3538968299797"
"22","PctImmi","0","0","0","0","6.7224473289501","66.1855232603019"
"23","Ncrime","0","0","0","0","-0.0436331180874469","-50.1410690702399"
"24","PctUnemploy","0","0","0","0","-4.33952795925897","-44.6623205524713"
"25","PctExec","0","0","0","0","3.34472056573967","37.6657151403544"
"26","JSHIS_I45_55","0","0","0","0","-0.142712907217936","-7.33618123741329"
"27","JSHIS_I55","0","0","0","0","-0.503887408052926","-24.3172671737685"
"28","Xpsi","0","0","0","0","-0.0915199178149146","-1.92403788899532"
"29","psi","0","0","0","0","1","0"
