"","var","param_est","count_iter","gradient","negLL","coef","t.stat"
"1","constant_LandBldg","-1.30060503093356","45","0","-7837.62562177719","5.45711056927695","12.7055355849363"
"2","constant_LandOnly","0.18258535872204","0","0","0","5.24474826430053","12.2032112437388"
"3","constant_Condo","0.0407394357397991","0","0","0","4.75823539917275","11.0787509325035"
"4","distance.num","-1.25656165708329","0","0","0","-0.0133728719128282","-34.5818006732285"
"5","area.m2.num","-0.108397734769769","0","0","0","0.00264828197542581","217.455012257662"
"6","total.floor.area.m2.num","-0.640972001209065","0","0","0","0.000555030811723811","54.4705823531309"
"7","building.age","-0.654054809155752","0","0","0","-0.0116157211241335","-80.658755249515"
"8","LandBldg_RC","0.0220399187667999","0","0","0","0.482156262585854","25.8641962075397"
"9","LandBldg_S","0.00678386731173695","0","0","0","0.179673593547164","10.4327143555969"
"10","LandBldg_W","-0.584473640774556","0","0","0","-0.148800682275566","-9.54635542258547"
"11","built.1981_2000","0.00551413404980263","0","0","0","0.125346852723372","25.2019435769894"
"12","built.after2000","-0.573721335725601","0","0","0","0.357698748187161","90.4445088455316"
"13","Urban_Control","0","0","0","0","-0.819978375355107","-16.985020714303"
"14","max.building.coverage.ratio","0","0","0","0","-0.00228006744249404","-19.7865436382452"
"15","max.floor.area.ratio","0","0","0","0","0.000480705872498324","23.8132205809358"
"16","City_Fukuoka","0","0","0","0","-0.974971426174421","-30.254157577582"
"17","City_Nagoya","0","0","0","0","-0.423889068994901","-42.0950782205686"
"18","City_Osaka","0","0","0","0","-0.250159542076967","-21.1252455056777"
"19","City_Sapporo","0","0","0","0","-1.25250361179576","-33.8105346345321"
"20","log.nGDP","0","0","0","0","0.449680393171925","16.4131375154644"
"21","log.CPI","0","0","0","0","1.47709783694704","19.060452303243"
"22","PctImmi","0","0","0","0","6.67639746147643","32.7250138251953"
"23","Ncrime","0","0","0","0","-0.0359282660238775","-21.090393906086"
"24","PctUnemploy","0","0","0","0","-4.96793242486131","-26.9192379831222"
"25","PctExec","0","0","0","0","3.10694642404837","18.0801854359703"
"26","JSHIS_I45_55_station","0","0","0","0","-0.138622927143044","-2.63390088414002"
"27","JSHIS_I55_station","0","0","0","0","-0.534387070606354","-10.0141362825464"
"28","Xpsi","0","0","0","0","-0.056036046204649","-6.14318648859701"
"29","psi","0","0","0","0","3.41","1.97951699694813"
